,Algorithm,2^N,TypeArray,Time
663,quicksort,6,Descending,0.0009016999999857944
664,quicksort,6,Descending,0.0008995000000027176
665,mergesort,6,Descending,0.00027959999999893625
666,mergesort,6,Descending,0.00027399999999033753
667,mergesort,6,Descending,0.0002718000000072607
668,mergesort,6,Descending,0.0002711000000203967
669,mergesort,6,Descending,0.0002716999999847758
670,mergesort_combined,6,Descending,0.00028560000004063113
671,mergesort_combined,6,Descending,0.00027590000001964654
672,mergesort_combined,6,Descending,0.00027390000002469606
673,mergesort_combined,6,Descending,0.00027340000002595843
674,mergesort_combined,6,Descending,0.00027369999997972627
675,bubble_sort,6,Random,0.0010953000000313295
676,bubble_sort,6,Random,0.0012609999999995125
677,bubble_sort,6,Random,0.0010854000000222186
678,bubble_sort,6,Random,0.0010848999999666376
679,bubble_sort,6,Random,0.0010838999999691623
680,insertion_sort,6,Random,0.0006752999999548592
681,insertion_sort,6,Random,0.0006652999999801068
682,insertion_sort,6,Random,0.0006634000000076412
683,insertion_sort,6,Random,0.0006647000000157277
684,insertion_sort,6,Random,0.0006624999999758074
685,quicksort,6,Random,0.0002091000000064014
686,quicksort,6,Random,0.0002044999999952779
687,quicksort,6,Random,0.00020339999997531777
688,quicksort,6,Random,0.0002018999999791049
689,quicksort,6,Random,0.00020169999999097854
690,mergesort,6,Random,0.00030390000000579676
691,mergesort,6,Random,0.0003021999999646141
692,mergesort,6,Random,0.000299699999970926
693,mergesort,6,Random,0.00029829999999719803
694,mergesort,6,Random,0.00029799999998658677
695,mergesort_combined,6,Random,0.0002101999999695181
696,mergesort_combined,6,Random,0.0002047000000402477
697,mergesort_combined,6,Random,0.0002001000000291242
698,mergesort_combined,6,Random,0.00020100000000411455
699,mergesort_combined,6,Random,0.00020030000001725057
700,bubble_sort,6,Structured,7.779999998547282e-05
701,bubble_sort,6,Structured,7.360000000744549e-05
702,bubble_sort,6,Structured,7.940000000417058e-05
703,bubble_sort,6,Structured,7.279999999809661e-05
704,bubble_sort,6,Structured,7.270000003245514e-05
705,insertion_sort,6,Structured,4.839999996875122e-05
706,insertion_sort,6,Structured,4.6100000020032894e-05
707,insertion_sort,6,Structured,4.5300000010684016e-05
708,insertion_sort,6,Structured,4.5199999988199124e-05
709,insertion_sort,6,Structured,4.540000003316891e-05
710,quicksort,6,Structured,0.0008003000000371685
711,quicksort,6,Structured,0.0007818000000270331
712,quicksort,6,Structured,0.0007825999999795386
713,quicksort,6,Structured,0.0007828000000245083
714,quicksort,6,Structured,0.000780700000007073
715,mergesort,6,Structured,0.0002827000000138469
716,mergesort,6,Structured,0.0002779999999802385
717,mergesort,6,Structured,0.0002772999999933745
718,mergesort,6,Structured,0.0002817999999820131
719,mergesort,6,Structured,0.000279999999975189
720,mergesort_combined,6,Structured,0.00015039999999544307
721,mergesort_combined,6,Structured,0.00014490000000932923
722,mergesort_combined,6,Structured,0.00014300000003686364
723,mergesort_combined,6,Structured,0.00014300000003686364
724,mergesort_combined,6,Structured,0.0001478000000361135
725,bubble_sort,6,Integers,0.0010378000000059728
726,bubble_sort,6,Integers,0.001032300000019859
727,bubble_sort,6,Integers,0.0010299999999574538
728,bubble_sort,6,Integers,0.0010268999999993866
729,bubble_sort,6,Integers,0.0010292999999705899
730,insertion_sort,6,Integers,0.0006238999999936823
731,insertion_sort,6,Integers,0.000616400000012618
732,insertion_sort,6,Integers,0.0006184000000075685
733,insertion_sort,6,Integers,0.0006162000000244916
734,insertion_sort,6,Integers,0.0006154999999807842
735,quicksort,6,Integers,0.00022319999999353968
736,quicksort,6,Integers,0.00021639999999933934
737,quicksort,6,Integers,0.0002160999999887281
738,quicksort,6,Integers,0.0002140999999937776
739,quicksort,6,Integers,0.00021430000003874738
740,mergesort,6,Integers,0.00029799999998658677
741,mergesort,6,Integers,0.00029299999999921056
742,mergesort,6,Integers,0.0002901000000292697
743,mergesort,6,Integers,0.0002901999999949112
