,Algorithm,2^N,TypeArray,Time
426,insertion_sort,9,Random,8.419999999986771e-05
427,insertion_sort,9,Random,9.19999999995369e-05
428,insertion_sort,9,Random,8.38999999999146e-05
429,insertion_sort,9,Random,8.400000000019503e-05
430,bubble_sort,9,Structured,1.8899999999710815e-05
431,bubble_sort,9,Structured,1.2800000000368073e-05
432,bubble_sort,9,Structured,1.089999999948077e-05
433,bubble_sort,9,Structured,9.499999999995623e-06
434,bubble_sort,9,Structured,8.900000000089392e-06
435,insertion_sort,9,Structured,9.100000000650255e-06
436,insertion_sort,9,Structured,4.999999999810711e-06
437,insertion_sort,9,Structured,3.600000000325565e-06
438,insertion_sort,9,Structured,2.7999999998584713e-06
439,insertion_sort,9,Structured,2.3999999996249244e-06
440,bubble_sort,9,Integers,0.00015830000000072175
441,bubble_sort,9,Integers,0.00017210000000034142
442,bubble_sort,9,Integers,0.0001433999999997937
443,bubble_sort,9,Integers,0.00014360000000035456
444,bubble_sort,9,Integers,0.0001445000000002139
445,insertion_sort,9,Integers,5.270000000034969e-05
446,insertion_sort,9,Integers,4.669999999951102e-05
447,insertion_sort,9,Integers,4.6400000000446084e-05
448,insertion_sort,9,Integers,4.619999999988522e-05
449,insertion_sort,9,Integers,4.619999999988522e-05
450,bubble_sort,10,Ascending,1.2200000000461841e-05
451,bubble_sort,10,Ascending,2.19999999995224e-06
452,bubble_sort,10,Ascending,2.1000000005599873e-06
453,bubble_sort,10,Ascending,1.8999999999991246e-06
454,bubble_sort,10,Ascending,2.19999999995224e-06
455,insertion_sort,10,Ascending,9.200000000042508e-06
456,insertion_sort,10,Ascending,1.600000000046009e-06
457,insertion_sort,10,Ascending,1.4000000003733248e-06
458,insertion_sort,10,Ascending,1.7999999997186933e-06
459,insertion_sort,10,Ascending,1.3999999994851464e-06
460,bubble_sort,10,Descending,0.0003628999999998328
461,bubble_sort,10,Descending,0.0003790000000005733
462,bubble_sort,10,Descending,0.00036799999999992394
463,bubble_sort,10,Descending,0.00036229999999992657
464,bubble_sort,10,Descending,0.00038429999999944897
465,insertion_sort,10,Descending,0.0007172999999998098
466,insertion_sort,10,Descending,0.0007070000000002352
467,insertion_sort,10,Descending,0.0007068999999999548
468,insertion_sort,10,Descending,0.0007044999999994417
469,insertion_sort,10,Descending,0.000706400000000329
470,bubble_sort,10,Random,0.0005777000000000143
471,bubble_sort,10,Random,0.0005708000000002045
472,bubble_sort,10,Random,0.0005641999999994596
473,bubble_sort,10,Random,0.0005977000000001453
474,bubble_sort,10,Random,0.0005641999999994596
475,insertion_sort,10,Random,0.00035360000000039804
476,insertion_sort,10,Random,0.0003520999999997443
477,insertion_sort,10,Random,0.00034840000000002647
478,insertion_sort,10,Random,0.00034679999999998046
479,insertion_sort,10,Random,0.0003492999999998858
480,bubble_sort,10,Structured,4.67000000003992e-05
481,bubble_sort,10,Structured,4.019999999993473e-05
482,bubble_sort,10,Structured,3.8700000000169155e-05
483,bubble_sort,10,Structured,3.7499999999468514e-05
484,bubble_sort,10,Structured,3.750000000035669e-05
485,insertion_sort,10,Structured,1.6299999999525028e-05
486,insertion_sort,10,Structured,1.2700000000087641e-05
487,insertion_sort,10,Structured,1.0599999999527654e-05
488,insertion_sort,10,Structured,9.999999999621423e-06
489,insertion_sort,10,Structured,9.300000000322939e-06
490,bubble_sort,10,Integers,0.0004929999999996326
491,bubble_sort,10,Integers,0.0004926000000002873
492,bubble_sort,10,Integers,0.0004971000000004722
493,bubble_sort,10,Integers,0.0004891000000002421
494,bubble_sort,10,Integers,0.0004892000000005226
495,insertion_sort,10,Integers,0.0001799000000000106
496,insertion_sort,10,Integers,0.00017729999999982482
497,insertion_sort,10,Integers,0.0001769999999998717
498,insertion_sort,10,Integers,0.00017939999999949663
499,insertion_sort,10,Integers,0.00017690000000047945
500,bubble_sort,11,Ascending,7.5999999999964984e-06
501,bubble_sort,11,Ascending,2.19999999995224e-06
502,bubble_sort,11,Ascending,2.1000000005599873e-06
503,bubble_sort,11,Ascending,1.8999999999991246e-06
504,bubble_sort,11,Ascending,1.8999999999991246e-06
505,insertion_sort,11,Ascending,4.699999999857596e-06
506,insertion_sort,11,Ascending,2.400000000513103e-06
507,insertion_sort,11,Ascending,2.19999999995224e-06
508,insertion_sort,11,Ascending,2.099999999671809e-06
509,insertion_sort,11,Ascending,2.19999999995224e-06
510,bubble_sort,11,Descending,0.001423200000000513
511,bubble_sort,11,Descending,0.0014991000000001975
512,bubble_sort,11,Descending,0.0014123999999995362
513,bubble_sort,11,Descending,0.0014161999999995345
514,bubble_sort,11,Descending,0.0014118999999999104
515,insertion_sort,11,Descending,0.002879000000000076
516,insertion_sort,11,Descending,0.0028966999999999743
517,insertion_sort,11,Descending,0.002868300000000268
518,insertion_sort,11,Descending,0.0028812999999994204
519,insertion_sort,11,Descending,0.0028885000000000716
520,bubble_sort,11,Random,0.0022454999999999004
521,bubble_sort,11,Random,0.002213100000000523
522,bubble_sort,11,Random,0.0022039999999998727
523,bubble_sort,11,Random,0.0022071999999999647
524,bubble_sort,11,Random,0.0021919000000005795
525,insertion_sort,11,Random,0.0014298000000003697
526,insertion_sort,11,Random,0.0014183000000000945
527,insertion_sort,11,Random,0.0014189000000000007
528,insertion_sort,11,Random,0.0014168999999997212
529,insertion_sort,11,Random,0.001435799999999432
530,bubble_sort,11,Structured,0.000137899999999469
531,bubble_sort,11,Structured,0.0001252999999996618
532,bubble_sort,11,Structured,0.0001246000000003633
533,bubble_sort,11,Structured,0.00012379999999989622
534,bubble_sort,11,Structured,0.0001250999999999891
535,insertion_sort,11,Structured,3.180000000035932e-05
536,insertion_sort,11,Structured,2.8900000000220416e-05
537,insertion_sort,11,Structured,2.739999999956666e-05
538,insertion_sort,11,Structured,2.6700000000268176e-05
539,insertion_sort,11,Structured,2.6599999999987745e-05
540,bubble_sort,11,Integers,0.0018558000000004071
541,bubble_sort,11,Integers,0.0018135999999993047
542,bubble_sort,11,Integers,0.0018412999999997126
543,bubble_sort,11,Integers,0.0018450999999997109
544,bubble_sort,11,Integers,0.001845699999999617
545,insertion_sort,11,Integers,0.0007388999999999868
546,insertion_sort,11,Integers,0.0007375999999998939
547,insertion_sort,11,Integers,0.0007530000000004478
548,insertion_sort,11,Integers,0.0007431999999996108
549,insertion_sort,11,Integers,0.0007207999999998549
550,bubble_sort,12,Ascending,1.5199999999992997e-05
551,bubble_sort,12,Ascending,6.299999999903605e-06
552,bubble_sort,12,Ascending,5.400000000044258e-06
553,bubble_sort,12,Ascending,5.00000000069889e-06
554,bubble_sort,12,Ascending,6.099999999342742e-06
555,insertion_sort,12,Ascending,1.7399999999945237e-05
556,insertion_sort,12,Ascending,6.5000000004644676e-06
557,insertion_sort,12,Ascending,5.5999999997169425e-06
558,insertion_sort,12,Ascending,4.200000000231796e-06
559,insertion_sort,12,Ascending,3.9000000002786805e-06
560,bubble_sort,12,Descending,0.00596650000000043
561,bubble_sort,12,Descending,0.00575279999999978
562,bubble_sort,12,Descending,0.00560980000000022
563,bubble_sort,12,Descending,0.00560969999999994
564,bubble_sort,12,Descending,0.005670499999999912
565,insertion_sort,12,Descending,0.011745699999999637
566,insertion_sort,12,Descending,0.011649499999999868
567,insertion_sort,12,Descending,0.011680799999999714
568,insertion_sort,12,Descending,0.011702099999999938
569,insertion_sort,12,Descending,0.011636900000000061
570,bubble_sort,12,Random,0.010577399999999848
571,bubble_sort,12,Random,0.010369100000000131
572,bubble_sort,12,Random,0.010357899999999809
573,bubble_sort,12,Random,0.010390800000000588
574,bubble_sort,12,Random,0.010299599999999742
575,insertion_sort,12,Random,0.005747599999999409
576,insertion_sort,12,Random,0.0057891000000003245
577,insertion_sort,12,Random,0.0057603000000003846
578,insertion_sort,12,Random,0.005908899999999662
579,insertion_sort,12,Random,0.0058224000000004494
580,bubble_sort,12,Structured,0.0004188000000002745
581,bubble_sort,12,Structured,0.0004110999999999976
582,bubble_sort,12,Structured,0.0004496999999998863
583,bubble_sort,12,Structured,0.00041709999999994807
584,bubble_sort,12,Structured,0.00041729999999962075
585,insertion_sort,12,Structured,7.830000000019766e-05
586,insertion_sort,12,Structured,7.45000000001994e-05
587,insertion_sort,12,Structured,7.700000000010476e-05
588,insertion_sort,12,Structured,7.369999999973231e-05
589,insertion_sort,12,Structured,7.33999999997792e-05
590,bubble_sort,12,Integers,0.010428199999999777
591,bubble_sort,12,Integers,0.009856000000000087
592,bubble_sort,12,Integers,0.008395199999999825
593,bubble_sort,12,Integers,0.008456899999999656
594,bubble_sort,12,Integers,0.008695099999999734
595,insertion_sort,12,Integers,0.0029661000000000826
596,insertion_sort,12,Integers,0.0028160000000001517
597,insertion_sort,12,Integers,0.002831299999999537
598,insertion_sort,12,Integers,0.002962499999999757
599,insertion_sort,12,Integers,0.0028278999999997723
600,bubble_sort,13,Ascending,1.09999999997612e-05
601,bubble_sort,13,Ascending,6.100000000230921e-06
602,bubble_sort,13,Ascending,5.699999999997374e-06
603,bubble_sort,13,Ascending,5.699999999997374e-06
604,bubble_sort,13,Ascending,5.699999999997374e-06
605,insertion_sort,13,Ascending,1.0499999999247223e-05
606,insertion_sort,13,Ascending,7.5000000006042455e-06
607,insertion_sort,13,Ascending,7.20000000065113e-06
608,insertion_sort,13,Ascending,9.200000000042508e-06
609,insertion_sort,13,Ascending,1.0099999999901854e-05
610,bubble_sort,13,Descending,0.02278259999999932
611,bubble_sort,13,Descending,0.02250949999999996
612,bubble_sort,13,Descending,0.022669099999999887
613,bubble_sort,13,Descending,0.02250970000000052
614,bubble_sort,13,Descending,0.022450499999999707
615,insertion_sort,13,Descending,0.047591800000000184
616,insertion_sort,13,Descending,0.047096999999999944
617,insertion_sort,13,Descending,0.047042499999999876
618,insertion_sort,13,Descending,0.047007599999999705
619,insertion_sort,13,Descending,0.047035499999999786
620,bubble_sort,13,Random,0.06114979999999992
621,bubble_sort,13,Random,0.061239700000000674
622,bubble_sort,13,Random,0.061898499999999856
623,bubble_sort,13,Random,0.06039979999999989
624,bubble_sort,13,Random,0.059293300000000215
625,insertion_sort,13,Random,0.021843399999999846
626,insertion_sort,13,Random,0.022783200000000114
627,insertion_sort,13,Random,0.023159800000000175
628,insertion_sort,13,Random,0.02309890000000081
629,insertion_sort,13,Random,0.02307989999999993
630,bubble_sort,13,Structured,0.001372299999999882
631,bubble_sort,13,Structured,0.0013708999999995086
632,bubble_sort,13,Structured,0.0014327999999999008
633,bubble_sort,13,Structured,0.001369600000000304
634,bubble_sort,13,Structured,0.001413099999999723
635,insertion_sort,13,Structured,0.000237600000000171
636,insertion_sort,13,Structured,0.00022300000000008424
637,insertion_sort,13,Structured,0.00022349999999971004
638,insertion_sort,13,Structured,0.00022650000000012938
639,insertion_sort,13,Structured,0.00024349999999984107
640,bubble_sort,13,Integers,0.050792999999999644
641,bubble_sort,13,Integers,0.05026520000000012
642,bubble_sort,13,Integers,0.05330859999999937
643,bubble_sort,13,Integers,0.0501990999999995
644,bubble_sort,13,Integers,0.050299099999999264
645,insertion_sort,13,Integers,0.011527199999999738
646,insertion_sort,13,Integers,0.011431899999999828
647,insertion_sort,13,Integers,0.0117231999999996
648,insertion_sort,13,Integers,0.011502500000000637
649,insertion_sort,13,Integers,0.011432600000000015
650,bubble_sort,14,Ascending,1.5999999999571912e-05
651,bubble_sort,14,Ascending,1.0900000000368948e-05
652,bubble_sort,14,Ascending,1.0599999999527654e-05
653,bubble_sort,14,Ascending,1.0600000000415832e-05
654,bubble_sort,14,Ascending,1.0699999999808085e-05
655,insertion_sort,14,Ascending,1.749999999933749e-05
656,insertion_sort,14,Ascending,1.430000000013365e-05
657,insertion_sort,14,Ascending,1.4100000000460966e-05
658,insertion_sort,14,Ascending,1.4100000000460966e-05
659,insertion_sort,14,Ascending,1.4100000000460966e-05
660,bubble_sort,14,Descending,0.09116199999999974
661,bubble_sort,14,Descending,0.08956910000000029
662,bubble_sort,14,Descending,0.08980329999999981
663,bubble_sort,14,Descending,0.08955330000000039
664,bubble_sort,14,Descending,0.08958870000000019
665,insertion_sort,14,Descending,0.18706460000000025
666,insertion_sort,14,Descending,0.18648789999999948
667,insertion_sort,14,Descending,0.18641400000000008
668,insertion_sort,14,Descending,0.18629089999999948
669,insertion_sort,14,Descending,0.18639970000000083
670,bubble_sort,14,Random,0.3038886999999999
671,bubble_sort,14,Random,0.3180801999999989
672,bubble_sort,14,Random,0.3033435999999998
673,bubble_sort,14,Random,0.3082684999999987
674,bubble_sort,14,Random,0.3077892000000002
675,insertion_sort,14,Random,0.09081140000000154
676,insertion_sort,14,Random,0.0931785000000005
677,insertion_sort,14,Random,0.09014920000000082
678,insertion_sort,14,Random,0.09201080000000061
679,insertion_sort,14,Random,0.0933843999999997
680,bubble_sort,14,Structured,0.0047642999999997215
681,bubble_sort,14,Structured,0.004700100000000873
682,bubble_sort,14,Structured,0.004682899999998824
683,bubble_sort,14,Structured,0.004666099999999673
684,bubble_sort,14,Structured,0.00467959999999934
685,insertion_sort,14,Structured,0.0007842000000000127
686,insertion_sort,14,Structured,0.0007735999999987087
687,insertion_sort,14,Structured,0.0007757999999995491
688,insertion_sort,14,Structured,0.0007748999999996897
689,insertion_sort,14,Structured,0.0007747999999985211
690,bubble_sort,14,Integers,0.26966689999999893
691,bubble_sort,14,Integers,0.2720052000000006
692,bubble_sort,14,Integers,0.27116709999999955
693,bubble_sort,14,Integers,0.2701550000000008
694,bubble_sort,14,Integers,0.2701799000000005
695,insertion_sort,14,Integers,0.04574629999999935
696,insertion_sort,14,Integers,0.04534070000000057
697,insertion_sort,14,Integers,0.045284499999999284
698,insertion_sort,14,Integers,0.04529310000000031
699,insertion_sort,14,Integers,0.045327800000000806
700,bubble_sort,15,Ascending,3.8800000000449586e-05
701,bubble_sort,15,Ascending,2.1600000000177033e-05
702,bubble_sort,15,Ascending,2.090000000087855e-05
703,bubble_sort,15,Ascending,2.0499999999756824e-05
704,bubble_sort,15,Ascending,2.0600000000925434e-05
705,insertion_sort,15,Ascending,3.290000000077953e-05
706,insertion_sort,15,Ascending,2.7999999998584713e-05
707,insertion_sort,15,Ascending,2.789999999919246e-05
708,insertion_sort,15,Ascending,2.8099999999753322e-05
709,insertion_sort,15,Ascending,2.7700000000407954e-05
710,bubble_sort,15,Descending,0.3582799999999988
711,bubble_sort,15,Descending,0.35771329999999857
712,bubble_sort,15,Descending,0.35786919999999967
713,bubble_sort,15,Descending,0.35934199999999983
714,bubble_sort,15,Descending,0.35791960000000067
715,insertion_sort,15,Descending,0.7419762999999993
716,insertion_sort,15,Descending,0.7440722999999991
717,insertion_sort,15,Descending,0.7438769000000001
718,insertion_sort,15,Descending,0.742966599999999
719,insertion_sort,15,Descending,0.7449496999999994
720,bubble_sort,15,Random,1.3625486000000002
721,bubble_sort,15,Random,1.3596794999999986
722,bubble_sort,15,Random,1.361732700000001
723,bubble_sort,15,Random,1.3533686999999972
724,bubble_sort,15,Random,1.3607287000000028
725,insertion_sort,15,Random,0.3717468000000004
726,insertion_sort,15,Random,0.3707804999999986
727,insertion_sort,15,Random,0.3712780000000002
728,insertion_sort,15,Random,0.371106300000001
729,insertion_sort,15,Random,0.3702463999999992
730,bubble_sort,15,Structured,0.016817599999999544
731,bubble_sort,15,Structured,0.017791400000000124
732,bubble_sort,15,Structured,0.016484899999998248
733,bubble_sort,15,Structured,0.01643659999999869
734,bubble_sort,15,Structured,0.016411299999997908
735,insertion_sort,15,Structured,0.0029050999999995497
736,insertion_sort,15,Structured,0.002847299999999109
737,insertion_sort,15,Structured,0.002845900000000512
738,insertion_sort,15,Structured,0.002866499999999661
739,insertion_sort,15,Structured,0.0028453999999982216
740,bubble_sort,15,Integers,1.2183342999999986
741,bubble_sort,15,Integers,1.217463500000001
742,bubble_sort,15,Integers,1.2408072000000026
743,bubble_sort,15,Integers,1.2302692000000022
744,bubble_sort,15,Integers,1.2455152000000034
745,insertion_sort,15,Integers,0.18351640000000202
746,insertion_sort,15,Integers,0.18248469999999628
747,insertion_sort,15,Integers,0.18151639999999958
748,insertion_sort,15,Integers,0.18212209999999374
749,insertion_sort,15,Integers,0.18216890000000063
750,bubble_sort,16,Ascending,4.839999999717293e-05
751,bubble_sort,16,Ascending,4.2600000000447835e-05
752,bubble_sort,16,Ascending,4.100000000306636e-05
753,bubble_sort,16,Ascending,4.080000000072914e-05
754,bubble_sort,16,Ascending,4.090000000189775e-05
755,insertion_sort,16,Ascending,6.069999999880338e-05
756,insertion_sort,16,Ascending,5.459999999857246e-05
757,insertion_sort,16,Ascending,5.439999999623524e-05
758,insertion_sort,16,Ascending,5.439999999623524e-05
759,insertion_sort,16,Ascending,5.449999999740385e-05
760,bubble_sort,16,Descending,1.4477576999999968
761,bubble_sort,16,Descending,1.4481956999999994
762,bubble_sort,16,Descending,1.4381922999999972
763,bubble_sort,16,Descending,1.4435420000000008
764,bubble_sort,16,Descending,1.442300699999997
765,insertion_sort,16,Descending,2.9780613000000002
766,insertion_sort,16,Descending,2.981671300000002
767,insertion_sort,16,Descending,2.981011500000001
768,insertion_sort,16,Descending,2.984503100000005
769,insertion_sort,16,Descending,2.9646451999999996
770,bubble_sort,16,Random,5.8861307999999966
771,bubble_sort,16,Random,5.883860999999996
772,bubble_sort,16,Random,5.85201769999999
773,bubble_sort,16,Random,5.915181000000004
774,bubble_sort,16,Random,5.938032499999991
775,insertion_sort,16,Random,1.4853608999999892
776,insertion_sort,16,Random,1.494548800000004
777,insertion_sort,16,Random,1.4835661999999985
778,insertion_sort,16,Random,1.4874724999999955
779,insertion_sort,16,Random,1.4865813000000117
780,bubble_sort,16,Structured,0.05888300000000868
781,bubble_sort,16,Structured,0.05893670000000384
782,bubble_sort,16,Structured,0.05824739999999906
783,bubble_sort,16,Structured,0.05831329999999468
784,bubble_sort,16,Structured,0.05811289999999758
785,insertion_sort,16,Structured,0.010659500000002708
786,insertion_sort,16,Structured,0.010903400000003671
787,insertion_sort,16,Structured,0.01062590000000796
788,insertion_sort,16,Structured,0.01064230000000066
789,insertion_sort,16,Structured,0.010832699999994588
790,bubble_sort,16,Integers,5.225386499999999
791,bubble_sort,16,Integers,5.481985599999987
792,bubble_sort,16,Integers,5.348366600000006
793,bubble_sort,16,Integers,5.242705999999998
794,bubble_sort,16,Integers,5.224380800000006
795,insertion_sort,16,Integers,0.7297189999999887
796,insertion_sort,16,Integers,0.7274798000000118
797,insertion_sort,16,Integers,0.745344799999998
798,insertion_sort,16,Integers,0.7530446000000097
799,insertion_sort,16,Integers,0.7263863999999955
800,bubble_sort,17,Ascending,8.910000001094431e-05
801,bubble_sort,17,Ascending,9.210000000337004e-05
802,bubble_sort,17,Ascending,8.109999998850981e-05
803,bubble_sort,17,Ascending,8.15000000073951e-05
804,bubble_sort,17,Ascending,8.080000000632026e-05
805,insertion_sort,17,Ascending,0.0001445000000046548
806,insertion_sort,17,Ascending,0.00016959999999244246
807,insertion_sort,17,Ascending,0.00014079999999694337
808,insertion_sort,17,Ascending,0.00012539999998750773
809,insertion_sort,17,Ascending,0.0001319999999935817
810,bubble_sort,17,Descending,5.856245600000008
811,bubble_sort,17,Descending,5.8943259000000126
812,bubble_sort,17,Descending,6.203448900000012
813,bubble_sort,17,Descending,6.216438600000004
814,bubble_sort,17,Descending,6.201423800000015
815,insertion_sort,17,Descending,12.664033799999999
816,insertion_sort,17,Descending,12.027282799999995
817,insertion_sort,17,Descending,11.920112399999994
818,insertion_sort,17,Descending,11.9099961
819,insertion_sort,17,Descending,11.903858999999983
820,bubble_sort,17,Random,23.759875499999993
821,bubble_sort,17,Random,23.79079679999998
822,bubble_sort,17,Random,23.741042800000002
823,bubble_sort,17,Random,23.823253800000032
824,bubble_sort,17,Random,23.7716863
825,insertion_sort,17,Random,5.951506499999994
826,insertion_sort,17,Random,5.956001200000003
827,insertion_sort,17,Random,5.9541304999999625
828,insertion_sort,17,Random,6.017086699999993
829,insertion_sort,17,Random,5.977736499999992
830,bubble_sort,17,Structured,0.20861129999997274
831,bubble_sort,17,Structured,0.20914529999998877
832,bubble_sort,17,Structured,0.21526760000000422
833,bubble_sort,17,Structured,0.20841560000002346
834,bubble_sort,17,Structured,0.2099071999999751
835,insertion_sort,17,Structured,0.03964510000002974
836,insertion_sort,17,Structured,0.03920379999999568
837,insertion_sort,17,Structured,0.03895149999999603
838,insertion_sort,17,Structured,0.03892319999999927
839,insertion_sort,17,Structured,0.03887409999998681
840,bubble_sort,17,Integers,21.492635300000018
841,bubble_sort,17,Integers,21.410744799999975
842,bubble_sort,17,Integers,21.756128199999978
843,bubble_sort,17,Integers,21.506258900000034
844,bubble_sort,17,Integers,21.874034300000005
845,insertion_sort,17,Integers,2.9340447000000154
846,insertion_sort,17,Integers,3.0073463999999603
847,insertion_sort,17,Integers,2.989476799999977
848,insertion_sort,17,Integers,2.9557305000000156
849,insertion_sort,17,Integers,2.9557585000000017
850,bubble_sort,18,Ascending,0.00016890000000557848
851,bubble_sort,18,Ascending,0.00016410000000632863
