,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,2.050000000153318e-05
1,python_sort,1,Ascending,0.00074679999999816
2,python_sort,1,Ascending,2.69999999957804e-06
3,python_sort,1,Ascending,1.4999999997655777e-06
4,python_sort,1,Ascending,1.399999998596968e-06
5,numpy_sort,1,Ascending,0.0024370000000004666
6,numpy_sort,1,Ascending,0.0005680000000012342
7,numpy_sort,1,Ascending,4.9000000004184585e-06
8,numpy_sort,1,Ascending,2.0000000020559128e-06
9,numpy_sort,1,Ascending,1.4999999997655777e-06
10,iterative_quicksort,1,Ascending,2.0320171999999985
11,iterative_quicksort,1,Ascending,4.699999998081239e-06
12,iterative_quicksort,1,Ascending,1.1999999998124622e-06
13,iterative_quicksort,1,Ascending,1.0999999986438525e-06
14,iterative_quicksort,1,Ascending,1.6000000009341875e-06
15,mergesort,1,Ascending,0.5310661000000003
16,mergesort,1,Ascending,2.3000000020090283e-06
17,mergesort,1,Ascending,6.999999975221272e-07
18,mergesort,1,Ascending,5.999999999062311e-07
19,mergesort,1,Ascending,6.999999975221272e-07
20,mergesort_combined,1,Ascending,2.1160692999999995
21,mergesort_combined,1,Ascending,2.9800000000079763e-05
22,mergesort_combined,1,Ascending,1.100000000064938e-05
23,mergesort_combined,1,Ascending,9.699999999668307e-06
24,mergesort_combined,1,Ascending,9.300000002099296e-06
25,python_sort,1,Descending,9.099999999762076e-06
26,python_sort,1,Descending,2.099999996119095e-06
27,python_sort,1,Descending,1.7999999997186933e-06
28,python_sort,1,Descending,1.3999999950442543e-06
29,python_sort,1,Descending,1.300000000981072e-06
30,numpy_sort,1,Descending,9.099999999762076e-06
31,numpy_sort,1,Descending,1.900000000887303e-06
32,numpy_sort,1,Descending,1.3999999950442543e-06
33,numpy_sort,1,Descending,1.300000000981072e-06
34,numpy_sort,1,Descending,1.499999996212864e-06
35,iterative_quicksort,1,Descending,8.600000001024455e-06
36,iterative_quicksort,1,Descending,1.900000000887303e-06
37,iterative_quicksort,1,Descending,1.4000000021496817e-06
38,iterative_quicksort,1,Descending,2.1000000032245225e-06
39,iterative_quicksort,1,Descending,1.5000000033182914e-06
40,mergesort,1,Descending,1.1499999999387e-05
41,mergesort,1,Descending,1.3999999950442543e-06
42,mergesort,1,Descending,1.1999999998124622e-06
43,mergesort,1,Descending,1.300000000981072e-06
44,mergesort,1,Descending,1.3999999950442543e-06
45,mergesort_combined,1,Descending,4.489999999890415e-05
46,mergesort_combined,1,Descending,1.1499999999387e-05
47,mergesort_combined,1,Descending,9.599999998499698e-06
48,mergesort_combined,1,Descending,9.300000002099296e-06
49,mergesort_combined,1,Descending,9.300000002099296e-06
50,python_sort,1,Random,9.800000000836917e-06
51,python_sort,1,Random,2.099999996119095e-06
52,python_sort,1,Random,1.6000000044869012e-06
53,python_sort,1,Random,1.3999999950442543e-06
54,python_sort,1,Random,1.300000000981072e-06
55,numpy_sort,1,Random,1.0199999998405929e-05
56,numpy_sort,1,Random,2.0000000020559128e-06
57,numpy_sort,1,Random,1.300000000981072e-06
58,numpy_sort,1,Random,1.4000000021496817e-06
59,numpy_sort,1,Random,1.300000000981072e-06
60,iterative_quicksort,1,Random,8.200000003455443e-06
61,iterative_quicksort,1,Random,1.900000000887303e-06
62,iterative_quicksort,1,Random,1.5999999973814738e-06
63,iterative_quicksort,1,Random,1.3999999950442543e-06
64,iterative_quicksort,1,Random,1.2999999938756446e-06
65,mergesort,1,Random,5.600000001493299e-06
66,mergesort,1,Random,1.0999999986438525e-06
67,mergesort,1,Random,7.999999951380232e-07
68,mergesort,1,Random,8.000000022434506e-07
69,mergesort,1,Random,8.000000022434506e-07
70,mergesort_combined,1,Random,4.020000000082291e-05
71,mergesort_combined,1,Random,1.139999999821839e-05
72,mergesort_combined,1,Random,9.399999996162478e-06
73,mergesort_combined,1,Random,9.000000005698894e-06
74,mergesort_combined,1,Random,8.999999998593466e-06
75,python_sort,1,Structured,1.4300000003686364e-05
76,python_sort,1,Structured,3.399999997100167e-06
77,python_sort,1,Structured,2.900000005467973e-06
78,python_sort,1,Structured,2.3999999996249244e-06
79,python_sort,1,Structured,2.2999999984563146e-06
80,numpy_sort,1,Structured,1.2699999999199463e-05
81,numpy_sort,1,Structured,2.099999996119095e-06
82,numpy_sort,1,Structured,1.2999999938756446e-06
83,numpy_sort,1,Structured,1.5000000033182914e-06
84,numpy_sort,1,Structured,1.300000000981072e-06
85,iterative_quicksort,1,Structured,8.900000004530284e-06
86,iterative_quicksort,1,Structured,1.8999999937818757e-06
87,iterative_quicksort,1,Structured,1.499999996212864e-06
88,iterative_quicksort,1,Structured,1.499999996212864e-06
89,iterative_quicksort,1,Structured,1.499999996212864e-06
90,mergesort,1,Structured,4.699999998081239e-06
91,mergesort,1,Structured,8.000000022434506e-07
92,mergesort,1,Structured,7.000000010748408e-07
93,mergesort,1,Structured,6.999999939694135e-07
94,mergesort,1,Structured,8.000000022434506e-07
95,mergesort_combined,1,Structured,5.120000000147229e-05
96,mergesort_combined,1,Structured,1.2599999998030853e-05
97,mergesort_combined,1,Structured,1.0000000003174137e-05
98,mergesort_combined,1,Structured,9.499999997331088e-06
99,mergesort_combined,1,Structured,9.300000002099296e-06
100,python_sort,1,Integers,1.2899999994431255e-05
101,python_sort,1,Integers,3.1000000006997652e-06
102,python_sort,1,Integers,2.7000000031307536e-06
103,python_sort,1,Integers,2.3999999996249244e-06
104,python_sort,1,Integers,2.4999999936881068e-06
105,numpy_sort,1,Integers,0.00030790000000280315
106,numpy_sort,1,Integers,4.199999999343618e-06
107,numpy_sort,1,Integers,1.6000000044869012e-06
108,numpy_sort,1,Integers,1.4000000021496817e-06
109,numpy_sort,1,Integers,1.300000000981072e-06
110,iterative_quicksort,1,Integers,0.6100100000000026
111,iterative_quicksort,1,Integers,2.500000000793534e-06
112,iterative_quicksort,1,Integers,9.000000034120603e-07
113,iterative_quicksort,1,Integers,9.000000034120603e-07
114,iterative_quicksort,1,Integers,8.99999996306633e-07
115,mergesort,1,Integers,0.5272780000000026
116,mergesort,1,Integers,2.2999999984563146e-06
117,mergesort,1,Integers,7.999999951380232e-07
118,mergesort,1,Integers,5.999999999062311e-07
119,mergesort,1,Integers,5.999999999062311e-07
120,mergesort_combined,1,Integers,1.887602600000001
121,mergesort_combined,1,Integers,3.0299999998817384e-05
122,mergesort_combined,1,Integers,1.089999999948077e-05
123,mergesort_combined,1,Integers,9.499999997331088e-06
124,mergesort_combined,1,Integers,9.400000003267905e-06
125,python_sort,2,Ascending,8.000000001118224e-06
126,python_sort,2,Ascending,2.1000000032245225e-06
127,python_sort,2,Ascending,1.7999999997186933e-06
128,python_sort,2,Ascending,1.6000000044869012e-06
129,python_sort,2,Ascending,4.599999996912629e-06
130,numpy_sort,2,Ascending,7.300000000043383e-06
131,numpy_sort,2,Ascending,1.900000000887303e-06
132,numpy_sort,2,Ascending,1.3999999950442543e-06
133,numpy_sort,2,Ascending,1.4000000021496817e-06
134,numpy_sort,2,Ascending,1.4000000021496817e-06
135,iterative_quicksort,2,Ascending,7.699999997612395e-06
136,iterative_quicksort,2,Ascending,1.4000000021496817e-06
137,iterative_quicksort,2,Ascending,1.0999999986438525e-06
138,iterative_quicksort,2,Ascending,1.00000000458067e-06
139,iterative_quicksort,2,Ascending,9.999999974752427e-07
140,mergesort,2,Ascending,8.999999998593466e-06
141,mergesort,2,Ascending,1.0999999986438525e-06
142,mergesort,2,Ascending,8.99999996306633e-07
143,mergesort,2,Ascending,1.00000000458067e-06
144,mergesort,2,Ascending,1.00000000458067e-06
145,mergesort_combined,2,Ascending,4.919999999941638e-05
